,WS14.2,WS18.2,WS21.2,WS27.2,WS32.2,WS37.2,WS38.2,WS39.2,WS40.2,WS42.2,WS43.2,WS9.2,WS12.2,WS17.2,WS2.2,WS23.2,WS24.2,WS33.2,WS34.2,WS36.2,WS4.2,WS47.2,WS5.2,WS6.2,WS8.2
ENSG00000099866 - MADCAM1,276.7638134,102.4694703,64.90719747,302.174507,294.541707,4.320210583,35.8727796,28.98003156,30.02233459,26.36075719,72.46387899,15.35166344,44.45790868,2.731686231,12.93456942,44.06252096,24.0279799,9.424489124,32.8941387,8.26552284,3.900234822,25.27605021,12.60759852,2.054598644,21.13676971
,High,High,High,High,High,High,High,HIgh,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
