"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000000003 - TSPAN6","TSPAN6",3709,1336.004,721,1425.999,1855,2007,805,1141.001,832,671,2112,3794,1952,735,2055.001,1793,2986.999,2173.001,1308,1143,1309,3652,1562.005,4961.001,883,"ENSG00000000003"
"ENSG00000000005 - TNMD","TNMD",19,11,4,10,13,16,2,26,6,2,18,18,16,7,21,17,29,23,13,15,5,39,13,75,5,"ENSG00000000005"
"ENSG00000000419 - DPM1","DPM1",613,228,112,378,510.999,466.999,195,246,180.999,195.999,407.998,788.999,376.001,160,664.999,879.001,440,631,540,233,299.001,756,496,2107.001,273.999,"ENSG00000000419"
"ENSG00000000457 - SCYL3","SCYL3",762.001,233,182,253.999,427,335,164,339,123,94,590.001,745,172,185,342,359.001,568,405,337,307,484.001,507,380,826,281,"ENSG00000000457"
"ENSG00000000460 - C1orf112","C1orf112",49,65,11,18,35,90,17,16,28,55,49.995,183,51,12,230.407,306.001,35,97.001,67.708,15,25,41,38.999,409,23.001,"ENSG00000000460"
"ENSG00000000938 - FGR","FGR",29,36,0,29,16,40,8,30,31,19,43,25,15,9,24,6,6,41,13,4,28,59,35,25,3,"ENSG00000000938"
"ENSG00000000971 - CFH","CFH",239,165.178,7,54,19,122.186,27,26,71.726,64,66,36,16,3,245.758,48,14,55,61,23,81.999,45,12,31,21,"ENSG00000000971"
"ENSG00000001036 - FUCA2","FUCA2",2930.001,1142,752.999,1173,1961,2067.001,1065,1136,573.999,844.997,1918,2975.001,1909.999,1004,2313,3292.999,2630,1952.999,2017,1002,1323,2577,1829,6536,1073,"ENSG00000001036"
"ENSG00000001084 - GCLC","GCLC",965,257.999,170.999,471.001,368.758,468,154,310.999,198.001,172,456,1009.999,297.001,165,624,726,483.001,519,433,303,348,746,378,1510,292,"ENSG00000001084"
"ENSG00000001167 - NFYA","NFYA",722.989,279.94,111,268,353,446,180,214.996,197,132.981,321,810,402.043,188,509.995,857,377,447,381,190,283,556,290,1196,207,"ENSG00000001167"
"ENSG00000001460 - STPG1","STPG1",1254.001,400.96,279.999,660.999,764.998,517.001,376,371,170.999,163,875.001,752,311.001,300,620.001,729.001,639.999,689.001,699,412,526.001,796,622,1386,368,"ENSG00000001460"
"ENSG00000001461 - NIPAL3","NIPAL3",2275,762,472,704,891,1104,588,781.001,545,388,1489.999,2071.002,614,652,1251,1616,997,1427.999,1059,600,1143.999,2037,960,2964.999,747.999,"ENSG00000001461"
"ENSG00000001497 - LAS1L","LAS1L",433.001,320.656,96,203,193,544,169,204.999,175.001,238,250.001,807,608,83,710.001,1163,302,488,434.999,236,196.001,273.001,274,1771,225,"ENSG00000001497"
"ENSG00000001561 - ENPP4","ENPP4",879,370,206,557,864,673,280,485,220,157,819,619,151,464,633,686,697,837,572,256,545,928,544,1756,427,"ENSG00000001561"
"ENSG00000001617 - SEMA3F","SEMA3F",131,201,27,114,222,275.999,121,61.999,103,133,95,157,81,36,304,349,86,136.001,276,61,70,145,63,701,67,"ENSG00000001617"
"ENSG00000001626 - CFTR","CFTR",2974.999,1514,628.001,1784.002,1439,3095,1093,1154.001,1149.999,874,1957.999,5580,3292.998,687,4606.261,5563.999,1741.001,3098,2823,1590.999,727,2150.999,1922,8755.999,1535.014,"ENSG00000001626"
"ENSG00000001629 - ANKIB1","ANKIB1",742,332,139.001,312.999,559,485,232,336,217,120,459,841.999,199,215,614,701,410,592,590,298,361.001,714,357,1437,282,"ENSG00000001629"
"ENSG00000001630 - CYP51A1","CYP51A1",2136.285,1646.961,751,1731.335,4302.329,3823.663,2334.487,1305.322,851.001,1482.999,3616.922,5861.458,1861,1282.981,4217.799,8059.243,2147.002,4316.53,5110.276,1406.526,1875.024,4154.129,2540.762,15508.483,1565.316,"ENSG00000001630"
"ENSG00000001631 - KRIT1","KRIT1",315.999,203,62.001,126.981,203.629,227.223,96.32,149.771,91,106,196.003,422.24,137.999,101,341,422.297,222.001,330.999,240.998,163.892,159.08,311.274,153,661.204,103.098,"ENSG00000001631"
"ENSG00000002016 - RAD52","RAD52",234.999,127.999,28,62.999,125.999,151,63,110.999,46,115.001,180.999,192.999,33,48.001,191.999,101,160,171.999,132.999,137,110,178,105,315,74,"ENSG00000002016"
"ENSG00000002079 - MYH16","MYH16",3,0,0,4,0,2,0,1,0,0,0,2,1,2,1,11,0,3,0,0,0,0,0,1,0,"ENSG00000002079"
"ENSG00000002330 - BAD","BAD",1748.001,1431.992,403.997,1066.999,2798,2020,1205.001,887,1128.998,826,1476,1822.998,1395.996,566,1453,2516.999,1488,1239,1916.995,915.999,972.001,2006.001,1259,4339.996,993,"ENSG00000002330"
"ENSG00000002549 - LAP3","LAP3",1769,938.001,290,840,957,1141.001,450,587,375,330,1049,2014,479,428,1279,1636.999,911,1224.001,1051,613,768,1559.999,1178,3157,618.999,"ENSG00000002549"
"ENSG00000002586 - CD99","CD99",2878,2675.999,452,1415,2044,3345,1715,1635,1991.998,1465.001,3020.001,5448,2579,619.002,3560.998,5494,2497.001,2225,3070,2461.999,1516,2265,2612,11621.999,1093,"ENSG00000002586"
"ENSG00000002587 - HS3ST1","HS3ST1",276,73,53,115,67,139,41,98,95,28,94,185,97,55,74,115,133,77,78,40,83,209,75,123,47,"ENSG00000002587"
"ENSG00000002726 - AOC1","AOC1",42118,17777.001,11299.999,17914.999,27323,12026.001,13760,12941,5700,5687,41911,26812.001,10722,15540,13102,19178.001,19112.001,18589,18702.999,13394.001,26331.001,26325.001,20723,42161,17237,"ENSG00000002726"
"ENSG00000002745 - WNT16","WNT16",4,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,"ENSG00000002745"
"ENSG00000002746 - HECW1","HECW1",3,1,0,0,0,2,0,2,0,2,1,0,1,0,1,4,6,2,5,0,0,1,0,12,0,"ENSG00000002746"
"ENSG00000002822 - MAD1L1","MAD1L1",304.463,178.138,88,131.25,316.677,281.398,199,138.999,167.947,180,270.469,386,246.586,83.185,426.474,522.128,131,303.917,381.076,203.001,170.373,308.716,146,935.727,121.465,"ENSG00000002822"
"ENSG00000002834 - LASP1","LASP1",34099,12238,7302,15969,21254,15726.001,9650.999,11784.999,6299,5705,23401,21919,8687.999,11058,13169,20060.001,15496,19866.001,19835,8635,16354,18636.999,15108,43449.001,12763,"ENSG00000002834"
"ENSG00000002919 - SNX11","SNX11",989,408.001,219,418,743,558.001,325,338.999,225,226,576,736.999,370,318,474,734,520,656,775.998,270,438.999,677,433.001,1686,315,"ENSG00000002919"
"ENSG00000002933 - TMEM176A","TMEM176A",6439,4181.999,1399.001,2924.001,6890,4719.001,2309,2551.999,2117.999,2104.001,5226.002,6046.001,3351.001,1592.001,3500.001,4548,4725.999,2842.999,3918,3583.999,2602.001,6125,3862.998,6858.999,2649.999,"ENSG00000002933"
"ENSG00000003056 - M6PR","M6PR",1622,740.941,257.974,633,736.97,1376.965,469.444,631.999,514.001,422,892.999,2317,1140.964,407,1720,2371,843.001,1489.982,1260.001,667.978,529,1548,828.001,3791.001,597,"ENSG00000003056"
"ENSG00000003096 - KLHL13","KLHL13",45,29,6,14,19,13,7,14,13,29,37,105,18,8,66,39,42,33,34,28,30,48,17,119,8,"ENSG00000003096"
"ENSG00000003137 - CYP26B1","CYP26B1",37,42,9,43,56,46,38,27,39,12,32,52,13,17,32,126,25,17,55,12,48,73,9,40,10,"ENSG00000003137"
"ENSG00000003147 - ICA1","ICA1",755,494.999,112,389.999,537.999,680,273.999,267.999,259,213.999,758.001,1032,1047.999,199.999,651,1107.001,482.001,603.001,667.001,471,421.999,674.999,440,1924.999,446,"ENSG00000003147"
"ENSG00000003249 - DBNDD1","DBNDD1",108,74,52,48,108,62,71.999,73,55,33,49,64.001,3,66,79,118.999,79,58,121,62,83,112,51,672,52,"ENSG00000003249"
"ENSG00000003393 - ALS2","ALS2",129,60,35,79.999,73.999,83,29,54,49.999,58,67.999,177,66,21,168.999,149.999,71,154,154,62.001,53,102.999,78,317,49,"ENSG00000003393"
"ENSG00000003400 - CASP10","CASP10",3288.925,865.204,578.999,1316.999,1034.04,973.854,498.322,905.001,258.482,351,2457.002,1556.999,472.954,847,869.752,992.667,1646.914,1247.505,1000.758,490.367,1190.844,2044.748,1032.983,2012.173,1044,"ENSG00000003400"
"ENSG00000003402 - CFLAR","CFLAR",4365.803,1635.044,892.426,2590.06,2405.349,1927.967,957.648,1745.809,863.419,700.324,3144.503,2791.739,1346.352,1343.503,1844.719,2218.293,2229.566,2556.7,2296.068,1363.563,2529.842,3529.601,1818.031,4136.862,1870.063,"ENSG00000003402"
"ENSG00000003436 - TFPI","TFPI",108.014,104.962,2,38,18.999,94.006,17.307,37,49.999,34,48.345,97.082,27.817,8,50,22.206,35.141,58.818,14,23.051,25,58.99,27.999,50.946,24.611,"ENSG00000003436"
"ENSG00000003509 - NDUFAF7","NDUFAF7",167.999,95,31,74,75.999,155,59,72,68,59.777,82,247,122.992,37.999,149.999,263,128,138.001,147,83,70,116,121,394,61.001,"ENSG00000003509"
"ENSG00000003756 - RBM5","RBM5",1189,1511.955,324,631.933,664.999,928.002,319.977,640.827,400,592,883.028,1125,554,312,758,886.735,991,896.999,749,784,626.999,1320.024,633,1505.255,481.001,"ENSG00000003756"
"ENSG00000003987 - MTMR7","MTMR7",10,3,1,3,3,3,4,1.005,0,1,2,7,3,0,8,7,2,6,3,2,0,2,5,10,0,"ENSG00000003987"
"ENSG00000003989 - SLC7A2","SLC7A2",34,20,4,5,18,30,5,11,6,17,4,65,8,2,65,48,9,15,17,6,10,19,16,66,10,"ENSG00000003989"
"ENSG00000004059 - ARF5","ARF5",3713,2882.574,1129.999,2806.409,4460.229,3580.687,2088.84,2077.032,1745,1530.552,3235.766,4825.653,3328.893,1228.578,2777,5020.119,3213.847,3161.612,3637,2088.999,1877,3446,3339,9530.233,1860.169,"ENSG00000004059"
"ENSG00000004139 - SARM1","SARM1",391.999,133.001,46,95,101,221,64,104,75,78,158,326,173,50,234,321,147.999,213,124,102.999,108.001,219.999,94,558,89,"ENSG00000004139"
"ENSG00000004142 - POLDIP2","POLDIP2",2953,1727,711,1626,2754,2770,1487,1290,1102.783,1214,2032,4067,2323,854,3344,5297,1825,2539,3238,1382,1460,2373,2437,9603,1327,"ENSG00000004142"
"ENSG00000004399 - PLXND1","PLXND1",293.001,311,9,101,67.001,172.001,46,55,164,173,95,121,40,10.999,146.001,90.001,7,128,58.001,73.001,106.001,56,26,138.999,39,"ENSG00000004399"
"ENSG00000004455 - AK2","AK2",5454.999,3025.212,1457,2599,4895.001,4970,2106.999,2344.001,1944.169,1991.999,3074.999,6668.001,4282.846,1653.001,4698,7757,4593,4306,5097.999,2682,2349,4579.771,4353.999,13297.001,2153.001,"ENSG00000004455"
"ENSG00000004468 - CD38","CD38",42,27,2,42,6,28.001,1,25,53.001,14,23,45,3,5,24,16,6,64.999,13,28,11,8,10,44,2,"ENSG00000004468"
"ENSG00000004478 - FKBP4","FKBP4",2753.01,1453,514,1656,2751.999,3794.999,1558,1279.999,1369,1960,2765.999,4809,5313,918,5542,9680,2094.999,2531,4715,1997,1174,2351,1838.999,12384.001,1546,"ENSG00000004478"
"ENSG00000004487 - KDM1A","KDM1A",525.999,548.999,126.999,271,396.977,920.003,329,267,367,350,393,1627.001,789.001,117,1517,2163.999,301.035,863.001,817,401,263.001,546.001,396,3335.001,357.999,"ENSG00000004487"
"ENSG00000004534 - RBM6","RBM6",704.001,1086.044,189.001,507.066,465.012,581.023,209.023,352.335,325,463,521.97,667,550.998,143,472.999,809.264,607.001,507.001,431,495.631,380,954.001,339.999,1209.744,205,"ENSG00000004534"
"ENSG00000004660 - CAMKK1","CAMKK1",62,76,12,24,35,84,23,23,47,73,22,85,66,6,91,149,14,59,80,52,15,75,41,221,28,"ENSG00000004660"
"ENSG00000004700 - RECQL","RECQL",344,157.918,48,109,145,245,61,129.001,105,78,162.003,339,98,70.1,273.001,332,141.001,262.902,146.025,75,144.145,271.999,145,562,80.934,"ENSG00000004700"
"ENSG00000004766 - VPS50","VPS50",467.999,275,97.001,201.999,498.999,458.999,240,175.001,133,149,333,654.001,204,152.999,485,642,353,465.999,499,170,234,535.001,334,1254.999,256,"ENSG00000004766"
"ENSG00000004776 - HSPB6","HSPB6",304,233,3,82,60,61,10,21,15,239,30,13,6,3,61,20,2,5,63,7,103,0,16,39,19,"ENSG00000004776"
"ENSG00000004777 - ARHGAP33","ARHGAP33",16,46,1,3,2,11,14,4,20,20,15,22,5,1,39,65,7,23,21,17,3,8,15,71,4,"ENSG00000004777"
"ENSG00000004779 - NDUFAB1","NDUFAB1",1727,1444,430,1155.001,2287.001,2456,1103.999,981,895.999,1326,1460,2972,2293,573,2614,4334.001,1885,2030,2617,991.999,922,2092,2448,9022,1129,"ENSG00000004779"
"ENSG00000004799 - PDK4","PDK4",2059,498,868,1148,904,824,550,754,483,341,860,1763,219,1168,1401,1655,842,2978,872,394,1624,608,765,1257,680,"ENSG00000004799"
"ENSG00000004809 - SLC22A16","SLC22A16",17,1,1,1,8,2,4,6,0,1,2,11,0,4,0,0,3,2,0,3,13,13,1,8,1,"ENSG00000004809"
"ENSG00000004838 - ZMYND10","ZMYND10",0,4,0,2,1,5,2,1,2,2,0,5,0,0,3,3,3,2,2,2,1,2,3,6,0,"ENSG00000004838"
"ENSG00000004846 - ABCB5","ABCB5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000004846"
"ENSG00000004848 - ARX","ARX",6,4,0,9,11,9,11,1,7,4,1,2,1,5,12,5,2,7,10,1,1,14,8,23,6,"ENSG00000004848"
"ENSG00000004864 - SLC25A13","SLC25A13",1877.999,682.001,379,801,1696,1077.999,859,635,453.001,508,1492,1460.999,651,431,1659,2142,924,1778.001,1882,811,764,1404,1289,3995,763,"ENSG00000004864"
"ENSG00000004866 - ST7","ST7",146,128,42,114.836,131.999,217,102.999,60,89.999,59.001,146.999,342.946,264,36,281.999,459.001,100,229.001,252.999,78.999,81.999,146,109,719.15,78.999,"ENSG00000004866"
"ENSG00000004897 - CDC27","CDC27",842,349,145,393.999,482,642.999,249,288,250.001,188,472.264,790.813,234,277.001,727.999,960.86,485,639,669,211,342,687.003,396,1970.001,347,"ENSG00000004897"
"ENSG00000004939 - SLC4A1","SLC4A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000004939"
"ENSG00000004948 - CALCR","CALCR",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"ENSG00000004948"
"ENSG00000004961 - HCCS","HCCS",1616,549.001,441.999,525,1203.001,1060,573,545.999,457,310,1082,1408,546,500.999,984,1315,1230.001,1057,1018.999,441,804.001,1308,1006,2488.001,593,"ENSG00000004961"
"ENSG00000004975 - DVL2","DVL2",357.999,236,63,102,244,354,135,130,94.001,127.999,221,617.001,133,88.001,412,672.999,210,332.999,332,171,158.999,365.001,185.001,970.999,127,"ENSG00000004975"
"ENSG00000005001 - PRSS22","PRSS22",0,9,6,13,2,0,5,0,4,0,5,0,7.402,0,0,0,1,0,6,1.451,0,1,1,4.636,0,"ENSG00000005001"
"ENSG00000005007 - UPF1","UPF1",4352.999,2129.999,830,1914.001,2535,3046,1452,1679,1072,963,2862.001,4043,1689.999,1511,2905,4069.001,1812,3409.999,3538,1455.999,2289.999,2770,1736,7337.999,1618.001,"ENSG00000005007"
"ENSG00000005020 - SKAP2","SKAP2",1826,760,260,730,996,1005,490,483,395,279,876,1928.001,562,448,1227,1660,930,1266,991,483,712,1257,859,3097,702,"ENSG00000005020"
"ENSG00000005022 - SLC25A5","SLC25A5",43371.999,21890.001,11503,19791,46424,29759.999,18711,17332,10336,12464,34129,36770.001,13985,15212.999,26008,39957,31314,29413.999,32716.941,15969,23336,38886.001,32862.999,78410.999,16358,"ENSG00000005022"
"ENSG00000005059 - MCUB","MCUB",90,90,9,50,28,150,35,36,84,60,47,173,36,4,168,276,25,181,105,35,38,73,102,440,25,"ENSG00000005059"
"ENSG00000005073 - HOXA11","HOXA11",68,49,16,35,36,106,28,23,60,62,50,148,46,8,70,186,40,76,104,27,43,27,39,203,24,"ENSG00000005073"
"ENSG00000005075 - POLR2J","POLR2J",1568.601,902.156,510.923,951.485,1668.079,1229.854,713.786,759.584,606.893,543.371,1265.46,1512.596,1360.055,446.706,909.35,1883.958,1239.431,1059.582,1249.789,874.905,758.398,1401.613,1120.786,3210.015,647.288,"ENSG00000005075"
"ENSG00000005100 - DHX33","DHX33",221,226,48,132,194,278,49,146,109,113,132,352,225,60,332,471,188,220,188,98,146,296,183,763,105,"ENSG00000005100"
"ENSG00000005102 - MEOX1","MEOX1",27,71,2,15,8,39,17,10,37,16,10,6,3,0,2,15,0,25,9,5,15,9,2,13,2,"ENSG00000005102"
"ENSG00000005108 - THSD7A","THSD7A",31,15,4,4,9,9,1,7,7,6,3,13,0,2,5,3,1,4,3,8,9,17,3,7,5,"ENSG00000005108"
"ENSG00000005156 - LIG3","LIG3",230,271,39.033,210.403,293,351.088,163,151,165.966,122,201.057,558.001,406.999,72,554.999,806,163.526,447,384.999,219,201,311.999,186.001,1342,192,"ENSG00000005156"
"ENSG00000005175 - RPAP3","RPAP3",223.999,128,35,105,122,245.001,74,84,122,76,110,404,209,43,340,489,143,261,218,119,89,211.999,162,782.001,89,"ENSG00000005175"
"ENSG00000005187 - ACSM3","ACSM3",417.999,404.001,91,224,451.001,680.554,222.999,249.706,335,192.999,346.999,1250,536,101.999,690,935,439.999,590,457.001,345,177,561,563.001,1579,290,"ENSG00000005187"
"ENSG00000005189 - REXO5","REXO5",35,39,6,16,38,72,11,14,25,28,20,79,24,8,110,123,16,39,32,22,15,17,34,195,18,"ENSG00000005189"
"ENSG00000005194 - CIAPIN1","CIAPIN1",603.999,520,130.999,520,1004,895.999,429,389,488,438.999,547.999,1008,980.001,295,1045,1588,518,996.999,1208.001,364,371.999,788.001,664.001,3418,446,"ENSG00000005194"
"ENSG00000005206 - SPPL2B","SPPL2B",2078.224,1532.739,583.001,823.001,1413,1562.001,936,854.999,640,873,1849.043,1818,1073.001,545.144,1271,1944,1211.519,1183,1562,1090,1079.281,1500.002,1064,3369.924,821.001,"ENSG00000005206"
"NA - FAM214B","FAM214B",782,631,253,1632,1933,1125,874,466,520,402,975,760,1158,515,768,1749.999,506,1080,1680,517,587,1358,652,3212,568,NA
"ENSG00000005243 - COPZ2","COPZ2",27,19.999,1,8,11,13,5,23,13,14,11,6,7,2,19.999,11,7,14,12,7,16,25,2,34,5,"ENSG00000005243"
"ENSG00000005302 - MSL3","MSL3",445.001,264,88,179.001,258,275.001,120.001,136,144,108,326,474.999,130,96,269,459.001,300.001,303,237.999,196,236.999,405,190,762.998,149,"ENSG00000005302"
"ENSG00000005339 - CREBBP","CREBBP",2709,840,450,704,723,1072,351,796,376,353,1541,1977.001,401.001,615,1192.001,1208,946.999,1291.999,1121,624.999,1309,1520.999,591,1970.999,872.999,"ENSG00000005339"
"ENSG00000005379 - TSPOAP1","TSPOAP1",60,37,6,17,21,42,4,20,5,23,20.999,47,0,6,40,23,7,17,8,20,18,29,12,54,15,"ENSG00000005379"
"ENSG00000005381 - MPO","MPO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"ENSG00000005381"
"ENSG00000005421 - PON1","PON1",0,12,0,0,4,18,1,2,6,13,4,21,10,0,3,2,12,0,10,8,5,1,7,0,0,"ENSG00000005421"
"ENSG00000005436 - GCFC2","GCFC2",256.001,112,43,103,73,185.002,52.001,93,53.999,46,104,194.999,137.999,37,181,223.998,89,155,104,95.001,82,166,98,275,78,"ENSG00000005436"
"ENSG00000005448 - WDR54","WDR54",49,38,8,12,20,63,10,14,36,18,21,49,23,4,40,117,10,41,29,14,13,40,11.001,109,16,"ENSG00000005448"
"ENSG00000005469 - CROT","CROT",1014.999,406,199,315,843,627,304,486,300,283,1654,1086,214,339,887,981,615,563.999,881,321,351,762,369,993,288,"ENSG00000005469"
"ENSG00000005471 - ABCB4","ABCB4",40.086,14.048,10.833,21.471,3.043,25.879,0,12.167,9.16,16.525,22.843,16.039,13.18,0,16.099,8.095,6,23.037,2.034,18.022,14.789,10.109,12.072,8.007,2.005,"ENSG00000005471"
"ENSG00000005483 - KMT2E","KMT2E",2919.998,962,794.001,906,1334,1503,736.001,1026,718.999,399.999,1844.002,2615.001,545,1127,1983,2511.002,1473,2649.006,2135.999,1017.999,1498,1848,1009.999,3755,1068,"ENSG00000005483"
"ENSG00000005486 - RHBDD2","RHBDD2",2411,1460,957,1538.999,2119.001,1573.001,1020.001,1354,833,804.999,2092.999,2035.999,1131,673,1345,1852,1574,1482,1710,1150,1026,1707.001,1286,3584.999,940,"ENSG00000005486"
"ENSG00000005513 - SOX8","SOX8",125,158,42,198,7,402,52,126,484,63,153,311,24,33,35,61,23,85,24,93,56,311,2,1,26,"ENSG00000005513"
"ENSG00000005801 - ZNF195","ZNF195",329.998,307,80.001,225,269.001,304.999,113.999,153.001,138,157.001,277.998,398.998,188,96,301.999,437,230,264,321,195,145.001,423.021,204.001,789,123,"ENSG00000005801"
"ENSG00000005810 - MYCBP2","MYCBP2",427,232.001,36.001,164.999,118.999,381,62,135.001,169,136,154.999,460,180.001,27.001,419.999,342.001,85.001,406,184.001,143.999,160.999,238,102,553,81.002,"ENSG00000005810"
"ENSG00000005812 - FBXL3","FBXL3",3269,841.001,565,890,1454,1104,467.057,978,443.164,291,1916.22,2113.081,270.999,747,1100.001,1200,1770,1498.999,898.001,637.001,1355,2400.084,1620,2793.144,1119,"ENSG00000005812"
"ENSG00000005844 - ITGAL","ITGAL",327,223,23,153,28.999,315,21,123,143.001,93.002,179.999,226,27,21,87,100,56.999,256.999,76.001,126,101,147,40,67,11,"ENSG00000005844"
"ENSG00000005882 - PDK2","PDK2",3095,1412,1025,441.999,1755.999,1683,804.999,1094,586,436.999,2178.001,2490.001,509.999,800,1054.999,1782,1673.999,1637.995,1288.001,1037,1065,1672.001,1073,3441,1150,"ENSG00000005882"
"ENSG00000005884 - ITGA3","ITGA3",7500.001,3856,1757,3167,5220,4892.998,3113,3134.999,2503,1718.807,5417.001,6445.998,3382.999,2768.001,4179,6643,3765.999,5402.001,5756.999,3462.999,3901,5538.999,2849.242,11384.999,2446.015,"ENSG00000005884"
"ENSG00000005889 - ZFX","ZFX",485,198,157,337,304.999,447,160,184,100,86,306.001,395.999,178,161.001,442.001,525,188,455.999,349.001,153,244,601.999,170,960.999,307,"ENSG00000005889"
"ENSG00000005893 - LAMP2","LAMP2",4447.001,1477.001,942,1568.061,2319.999,1840.005,922,1226,730,511.999,2403.999,2955.999,735,1457,1677,1794.688,2284.999,2137,1346,910,2223,3464,1943,3788.001,1531.999,"ENSG00000005893"
"ENSG00000005961 - ITGA2B","ITGA2B",4,2,0,2,2,4,2,0,2,0,0,5,0,0,2,0,0,0,0,0,0,3,0,10,0,"ENSG00000005961"
"ENSG00000005981 - ASB4","ASB4",2,2,0,0,0,1,0,0,3,0,2,3,0,0,0,3,1,1,1,3,0,0,0,1,0,"ENSG00000005981"
"ENSG00000006007 - GDE1","GDE1",7459.999,2896,1440,4188,4353,3773.001,2102.999,1890,1661.001,1091,4739,5794,3076,2466.999,2844,5253,4250,4417,3828,2136,4282,5724.001,3891,8036,2357,"ENSG00000006007"
"ENSG00000006015 - REX1BD","REX1BD",399,439.001,103,272.999,362.001,654.001,259,206.001,271,333,371.001,733.999,571,105,520.999,900.999,385,388.001,444,200.001,223,495.001,315.999,1513,167.999,"ENSG00000006015"
"ENSG00000006016 - CRLF1","CRLF1",6,1,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,2,0,1,0,2,5,0,"ENSG00000006016"
"ENSG00000006025 - OSBPL7","OSBPL7",405,393,127,285,458,446.001,289,237,187.001,246,444.001,649,212,216,681.999,1025.999,246,592,633,532.001,279,712.001,330,1922,172,"ENSG00000006025"
"ENSG00000006042 - TMEM98","TMEM98",2440,1364.96,693,1041.001,2853.001,2202.999,1441.001,1332,746.999,832,1959,3531,1379.001,1116.001,2134.001,3351.001,2542.999,2122.999,2661,1090,1343,2279,1691,6734,1405,"ENSG00000006042"
"ENSG00000006059 - KRT33A","KRT33A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000006059"
"ENSG00000006062 - MAP3K14","MAP3K14",414,302.001,78,304,195,499,116,248,255,157,357,468,255.999,160,297,396,291,327,296,227.001,307.001,517,189,416,137,"ENSG00000006062"
"ENSG00000006071 - ABCC8","ABCC8",39,21,13,9,47,11,8,10,3,12,13.999,20,4,4,17.001,15,17,13,30,3,5,24,28,52,3,"ENSG00000006071"
"ENSG00000006116 - CACNG3","CACNG3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000006116"
"ENSG00000006118 - TMEM132A","TMEM132A",45.001,50,12,12,12,76,30,18,42,25,26,95,29.001,8,51.001,98,13,61,45,10,16,34,46,207.999,20,"ENSG00000006118"
"ENSG00000006125 - AP2B1","AP2B1",4472.999,3070,959,3501.001,3716,4844.001,2414,2024.999,1900,2223.999,3478.001,7872.001,4676.999,1449,8914,10711.999,2844,5164.001,5789.014,2158,2809.999,3888.001,2928,18332,2530.001,"ENSG00000006125"
"ENSG00000006128 - TAC1","TAC1",10,3,2,0,0,1,1,5,1,0,5,4,1,3,0,0,58,0,0,1,3,2,2,0,2,"ENSG00000006128"
"ENSG00000006194 - ZNF263","ZNF263",434,321,59,219,276,402,164.001,160.001,170.001,141.999,280,552,356,102,334,531,341,356,314.001,239.999,174,404.001,198,913,173.999,"ENSG00000006194"
"ENSG00000006210 - CX3CL1","CX3CL1",150,153,21,62,23,136,26,66,129,66,67,84,25,8,47,87,13,51,32,44,36,208,7,32,26,"ENSG00000006210"
"ENSG00000006282 - SPATA20","SPATA20",1683.999,1362,527,1168,1919.187,1422.999,562,682,472,859.001,1380,1790,1068.999,471,673.998,2252.001,1156.628,1457,1663.999,987,968,1241,782,3957.999,791,"ENSG00000006282"
"ENSG00000006283 - CACNA1G","CACNA1G",3,1,0,2,0,0,0,0,0,2,0,0,2,2,1,2,0,2,0,1,3,1,1,2,0,"ENSG00000006283"
"ENSG00000006327 - TNFRSF12A","TNFRSF12A",167,78,29,392,236,359,137,59,127,65,157,156,2126,120,245,456,172,122,251,92,65,217.001,106,642,313,"ENSG00000006327"
"ENSG00000006377 - DLX6","DLX6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000006377"
"ENSG00000006432 - MAP3K9","MAP3K9",287,122,70,171,190,159,149,114,100,90,269,324,168,119,277,433,140,328,317,139,150,309,164,701.001,130,"ENSG00000006432"
"ENSG00000006451 - RALA","RALA",2576,1493,825,1781,2699.999,1824,1208.999,1299.001,852,857,2577,2879,1616,976,2424.001,3100,2025,2067.998,2545,1210,1369,3029,2178,7060.999,1188.999,"ENSG00000006451"
"ENSG00000006453 - BAIAP2L1","BAIAP2L1",3311.999,1716,807,3711,2354,1882,1163,1128,702,658,2532,2376,2031,1253.999,1903,2515.999,2168,2313,2242,1055,1627,2825,1543,4159,1698,"ENSG00000006453"
