"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000144029 - MRPS5","MRPS5",1085.999,1050,293,658.001,1384,1662.001,843,544,624.626,716.999,815.001,1589,1445.999,352,1438,2488.001,840.999,1500.001,1755.709,785,579.999,1164,965,4612,619.543,"ENSG00000144029"
"ENSG00000144031 - ANKRD53","ANKRD53",4,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"ENSG00000144031"
"ENSG00000144034 - TPRKB","TPRKB",471.999,284,123,231,608.999,432.001,182.999,243,238.001,151,395.001,695,281,181.998,561,528.999,451.001,451,465,167.001,313,502,453.999,1785.999,259.001,"ENSG00000144034"
"ENSG00000144035 - NAT8","NAT8",22,4,2,8,19,11,12,28,9,8,15,12,2,6,30,12,52,20,30,18,14.118,16,8,27,7,"ENSG00000144035"
"ENSG00000144036 - EXOC6B","EXOC6B",1368,347,142,365,512,617,272,357.999,218,160,682,1059.001,218,476.001,452,667,522,720,581,301,736,672,573,1567,443,"ENSG00000144036"
"ENSG00000144040 - SFXN5","SFXN5",1645,466,320,566.999,987.999,654,343.001,445,291.999,385,772.999,976,415,451,600.002,1135,683.999,736.001,997,404,584.094,687,545.001,2203.001,367.999,"ENSG00000144040"
"ENSG00000144043 - TEX261","TEX261",1834.001,702,359,615,883,1121.971,639,653,546,464.999,1175.963,2069.961,917,587,1825.999,2502.971,985,1579,1496,815.971,891.999,1445,871,4225,641,"ENSG00000144043"
"ENSG00000144045 - DQX1","DQX1",570,346,116,348.999,619,489,247,255,150,230,494,531,356,217.001,479.001,871.999,479.001,613,738.001,277,343,415,342,1753,238,"ENSG00000144045"
"ENSG00000144048 - DUSP11","DUSP11",435,160,118,218,356,328,193,162.999,132,72,304,467,191,135,367,445,347,394,327,158,241,439,237.999,843.001,196,"ENSG00000144048"
"ENSG00000144057 - ST6GAL2","ST6GAL2",3,15,34,71,65,36,3,13,18,14,81,54,76,4,252,136,49,133,24,12,21,93,32,55,27,"ENSG00000144057"
