,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbols
ENSG00000278845 - MRPL45,58.49005704,0.747310752,1.295059917,0.577047241,0.563907543,0.971274555, C6orf242
ENSG00000189343 - RPS2P46,4.481129379,0.747001211,0.52280544,1.42883213,0.153052488,0.961973479, C6orf243
ENSG00000175356 - SCUBE2,66.038496,0.746235732,0.348347215,2.142218164,0.032175931,0.961973479, C6orf244
ENSG00000065328 - MCM10,13.52206695,0.743989286,0.418929778,1.775928388,0.075744721,0.961973479, C6orf245
ENSG00000166828 - SCNN1G,49.40894325,0.741869293,0.630050314,1.177476269,0.239005464,0.961973479, C6orf246
ENSG00000167757 - KLK11,6.113622908,0.740146474,0.519114322,1.425787044,0.153929822,0.961973479, C6orf247
ENSG00000134516 - DOCK2,71.15356568,0.739351944,0.590755868,1.251535506,0.210739168,0.961973479, C6orf248
ENSG00000163219 - ARHGAP25,61.97065724,0.737752159,0.557770982,1.322679349,0.185942034,0.961973479, C6orf249
ENSG00000093009 - CDC45,21.90753147,0.735959794,0.4391784,1.675765005,0.093784231,0.961973479, C6orf250
ENSG00000100003 - SEC14L2,6.453827928,0.734699699,0.696709008,1.054528778,0.291640892,0.964309686, C6orf251
ENSG00000141576 - RNF157,175.4203207,0.733300903,0.299708114,2.446716885,0.014416403,0.961973479, C6orf252
ENSG00000143799 - PARP1,309.4186873,0.732512992,0.326148219,2.245951223,0.024707132,0.961973479, C6orf253
ENSG00000129195 - PIMREG,17.48245418,0.731233736,0.3929006,1.861116363,0.062727746,0.961973479, C6orf254
ENSG00000135069 - PSAT1,24.7977565,0.729297125,0.458945798,1.589070275,0.112044528,0.961973479, C6orf255
ENSG00000161888 - SPC24,35.12351971,0.728537771,0.370824356,1.964643799,0.049455479,0.961973479, C6orf256
ENSG00000270181 - BIVM-ERCC5,8.73024322,0.726423375,1.119633617,0.648804541,0.516464722,0.96565855, C6orf257
ENSG00000121933 - TMIGD3,8.064319523,0.725429802,0.765332843,0.947861846,0.34319979,0.96565855, C6orf258
ENSG00000100162 - CENPM,58.50180869,0.717687173,0.345136976,2.079427074,0.037578114,0.961973479, C6orf259
ENSG00000145681 - HAPLN1,8.452796486,0.717667834,0.704944792,1.018048282,0.308655012,0.964309686, C6orf260
ENSG00000188372 - ZP3,23.3126307,0.714899001,0.460642934,1.551959117,0.120672006,0.961973479, C6orf261
ENSG00000164398 - ACSL6,9.331199668,0.713994076,0.627017633,1.138714509,0.254822249,0.961973479, C6orf262
ENSG00000198826 - ARHGAP11A,47.98044972,0.713515193,0.51039993,1.397953155,0.162127135,0.961973479, C6orf263
ENSG00000205978 - NYNRIN,68.30209505,0.712034313,0.332650515,2.140487632,0.032315379,0.961973479, C6orf264
ENSG00000170345 - FOS,340.3650484,0.711266804,0.325836131,2.182897282,0.029043375,0.961973479, C6orf265
ENSG00000111912 - NCOA7,280.058787,0.70986059,0.377842923,1.878718766,0.060282904,0.961973479, C6orf266
ENSG00000154359 - LONRF1,12.37110246,0.709849565,0.689525603,1.029475282,0.303256389,0.964309686, C6orf267
ENSG00000211640 - IGLV6-57,78.00942434,0.709132239,0.786274351,0.901889065,0.367115801,0.96565855, C6orf268
ENSG00000111012 - CYP27B1,7.880845115,0.708895173,0.328489512,2.158045072,0.030924328,0.961973479, C6orf269
ENSG00000141556 - TBCD,112.9135258,0.708258685,0.275298918,2.572689678,0.010091164,0.961973479, C6orf270
ENSG00000168268 - NT5DC2,68.74949359,0.706445635,0.306924442,2.301692333,0.021352529,0.961973479, C6orf271
ENSG00000048462 - TNFRSF17,28.24015094,0.704991211,0.73409983,0.960347874,0.336880163,0.96565855, C6orf272
ENSG00000162894 - FCMR,93.25572658,0.704521552,0.744318037,0.946532957,0.343876821,0.96565855, C6orf273
ENSG00000160111 - CPAMD8,11.89175599,0.703422445,0.512268813,1.373151022,0.169705402,0.961973479, C6orf274
ENSG00000121152 - NCAPH,35.02630335,0.701855659,0.397838618,1.76417177,0.077703064,0.961973479, C6orf275
ENSG00000143476 - DTL,36.44126931,0.700211485,0.361182655,1.938663095,0.052542375,0.961973479, C6orf276
ENSG00000114541 - FRMD4B,134.5178871,0.699835813,0.272383794,2.569300477,0.010190406,0.961973479, C6orf277
ENSG00000143942 - CHAC2,18.21684434,0.695708342,0.215392126,3.229961817,0.001238068,0.950979496, C6orf278
ENSG00000175063 - UBE2C,115.8940072,0.695145273,0.399011802,1.742167198,0.081479192,0.961973479, C6orf279
ENSG00000070371 - CLTCL1,7.25999351,0.694001496,0.41480207,1.673090725,0.094309437,0.961973479, C6orf280
ENSG00000183010 - PYCR1,204.0000497,0.693152698,0.32454852,2.135744442,0.03270025,0.961973479, C6orf281
ENSG00000011426 - ANLN,27.29146072,0.692992218,0.393112451,1.762834566,0.077928396,0.961973479, C6orf282
ENSG00000164949 - GEM,26.68170228,0.692405074,0.488812593,1.416504164,0.156627946,0.961973479, C6orf283
ENSG00000243709 - LEFTY1,225.4565001,0.691880597,0.363728217,1.902191155,0.057146169,0.961973479, C6orf284
ENSG00000204394 - VARS1,86.93208857,0.691709838,0.575137184,1.202686694,0.229097585,0.961973479, C6orf285
ENSG00000259024 - TVP23C-CDRT4,13.88029298,0.691228832,0.971192992,0.711731693,0.476630938,0.96565855, C6orf286
ENSG00000159618 - ADGRG5,14.45859348,0.689848827,0.509797808,1.353181234,0.175997739,0.961973479, C6orf287
ENSG00000133216 - EPHB2,319.7397701,0.689317249,0.356190276,1.935250046,0.052959619,0.961973479, C6orf288
ENSG00000211662 - IGLV3-21,159.8252079,0.688532507,0.736643238,0.934689238,0.349948475,0.96565855, C6orf289
ENSG00000196550 - FAM72A,6.656037992,0.685043796,0.704449205,0.972453076,0.330825198,0.96565855, C6orf290
ENSG00000117090 - SLAMF1,14.69285935,0.684931728,0.675567873,1.013860716,0.310649219,0.964309686, C6orf291
ENSG00000146670 - CDCA5,65.24551472,0.684217809,0.417668468,1.638184017,0.101383313,0.961973479, C6orf292
ENSG00000180884 - ZNF792,17.82281289,0.68412005,0.351903241,1.944057255,0.051888547,0.961973479, C6orf293
ENSG00000073464 - CLCN4,6.518061133,0.682564709,0.622224692,1.096974641,0.272652478,0.963838803, C6orf294
ENSG00000164691 - TAGAP,38.71113893,0.681147035,0.623068999,1.093212849,0.274300357,0.963838803, C6orf295
ENSG00000099822 - HCN2,6.563606312,0.681132621,0.449705859,1.514618073,0.129869153,0.961973479, C6orf296
ENSG00000158402 - CDC25C,17.04421445,0.681077697,0.413798399,1.645916704,0.099780909,0.961973479, C6orf297
ENSG00000126787 - DLGAP5,43.36955423,0.679898756,0.426170463,1.595368088,0.110629948,0.961973479, C6orf298
ENSG00000136883 - KIF12,25.97775613,0.678866243,0.337835881,2.009455721,0.044488826,0.961973479, C6orf299
ENSG00000064545 - TMEM161A,54.83028944,0.67881894,0.206308776,3.290305696,0.001000786,0.890632759, C6orf300
ENSG00000175344 - CHRNA7,63.14606159,0.677160361,0.385099858,1.758402001,0.078679133,0.961973479, C6orf301
ENSG00000152669 - CCNO,8.040017291,0.675473854,0.51746206,1.305359186,0.191770569,0.961973479, C6orf302
